Primer log:   SoloQuedaVox 20/04/2021 14:21:58
SoloQuedaVox 14:21:58 VotaLIBERTAD 21/04/2021 14:27:43
VotaLIBERTAD 14:27:43 DebateTelemadrid 21/04/2021 14:33:17
DebateTelemadrid 14:33:17 DebateTelemadrid 21/04/2021 14:38:42
DebateTelemadrid 14:38:42 DebateTelemadrid 21/04/2021 14:44:06
DebateTelemadrid 14:44:06 DebateTelemadrid 21/04/2021 14:49:29
DebateTelemadrid 14:49:29 DebateTelemadrid 21/04/2021 14:54:57
DebateTelemadrid 14:54:57 DebateTelemadrid 21/04/2021 15:00:23
DebateTelemadrid 15:00:23 DebateTelemadrid 21/04/2021 15:05:47
DebateTelemadrid 15:05:47 DebateTelemadrid 21/04/2021 15:11:11
DebateTelemadrid 15:11:11 DebateTelemadrid 21/04/2021 15:16:33
DebateTelemadrid 15:16:33 DebateTelemadrid 21/04/2021 15:22:01
DebateTelemadrid 15:22:01 DebateTelemadrid 22/04/2021 15:50:00
DebateTelemadrid 15:50:00 DebateTelemadrid 22/04/2021 15:55:24
DebateTelemadrid 15:55:24 SoloQuedaVox 23/04/2021 16:03:04
SoloQuedaVox 16:03:04 IlegalizacionDeVoxYa 23/04/2021 16:08:45
IlegalizacionDeVoxYa 16:08:45 DebateSER 23/04/2021 16:14:32
DebateSER 16:14:32 DebateSER 23/04/2021 16:19:53
DebateSER 16:19:53 DebateSER 23/04/2021 16:25:17
